2013-02-14 00:14:33 status half-installed libart-2.0-2 2.3.20-2build1
2013-02-14 00:14:33 status unpacked libart-2.0-2 2.3.20-2build1
2013-02-14 00:14:33 status unpacked libart-2.0-2 2.3.20-2build1
2013-02-14 00:14:33 install libsysfs2 <none> 2.1.0-6
2013-02-14 00:14:33 status half-installed libsysfs2 2.1.0-6
2013-02-14 00:14:33 status unpacked libsysfs2 2.1.0-6
2013-02-14 00:14:33 status unpacked libsysfs2 2.1.0-6
2013-02-14 00:14:33 install tsconf <none> 1.0-7build1
2013-02-14 00:14:33 status half-installed tsconf 1.0-7build1
2013-02-14 00:14:33 status half-installed tsconf 1.0-7build1
2013-02-14 00:14:33 status unpacked tsconf 1.0-7build1
2013-02-14 00:14:33 status unpacked tsconf 1.0-7build1
2013-02-14 00:14:33 install libts-0.0-0 <none> 1.0-7build1
2013-02-14 00:14:33 status half-installed libts-0.0-0 1.0-7build1
2013-02-14 00:14:33 status unpacked libts-0.0-0 1.0-7build1
2013-02-14 00:14:33 status unpacked libts-0.0-0 1.0-7build1
2013-02-14 00:14:33 install libdirectfb-1.2-0 <none> 1.2.8-5ubuntu2
2013-02-14 00:14:33 status half-installed libdirectfb-1.2-0 1.2.8-5ubuntu2
2013-02-14 00:14:33 status unpacked libdirectfb-1.2-0 1.2.8-5ubuntu2
2013-02-14 00:14:33 status unpacked libdirectfb-1.2-0 1.2.8-5ubuntu2
2013-02-14 00:14:33 install libpixman-1-0 <none> 0.16.4-1ubuntu2
2013-02-14 00:14:33 status half-installed libpixman-1-0 0.16.4-1ubuntu2
2013-02-14 00:14:33 status unpacked libpixman-1-0 0.16.4-1ubuntu2
2013-02-14 00:14:33 status unpacked libpixman-1-0 0.16.4-1ubuntu2
2013-02-14 00:14:33 install libxcb-render0 <none> 1.5-2
2013-02-14 00:14:33 status half-installed libxcb-render0 1.5-2
2013-02-14 00:14:33 status unpacked libxcb-render0 1.5-2
2013-02-14 00:14:33 status unpacked libxcb-render0 1.5-2
2013-02-14 00:14:33 install libxcb-render-util0 <none> 0.3.6-1build1
2013-02-14 00:14:33 status half-installed libxcb-render-util0 0.3.6-1build1
2013-02-14 00:14:33 status unpacked libxcb-render-util0 0.3.6-1build1
2013-02-14 00:14:33 status unpacked libxcb-render-util0 0.3.6-1build1
2013-02-14 00:14:33 install libxrender1 <none> 1:0.9.5-1
2013-02-14 00:14:33 status half-installed libxrender1 1:0.9.5-1
2013-02-14 00:14:34 status unpacked libxrender1 1:0.9.5-1
2013-02-14 00:14:34 status unpacked libxrender1 1:0.9.5-1
2013-02-14 00:14:34 install libcairo2 <none> 1.8.10-2ubuntu1
2013-02-14 00:14:34 status half-installed libcairo2 1.8.10-2ubuntu1
2013-02-14 00:14:34 status unpacked libcairo2 1.8.10-2ubuntu1
2013-02-14 00:14:34 status unpacked libcairo2 1.8.10-2ubuntu1
2013-02-14 00:14:34 install dbus <none> 1.2.16-2ubuntu4.7
2013-02-14 00:14:34 status half-installed dbus 1.2.16-2ubuntu4.7
2013-02-14 00:14:34 status half-installed dbus 1.2.16-2ubuntu4.7
2013-02-14 00:14:34 status unpacked dbus 1.2.16-2ubuntu4.7
2013-02-14 00:14:34 status unpacked dbus 1.2.16-2ubuntu4.7
2013-02-14 00:14:34 install gconf2-common <none> 2.28.1-0ubuntu1
2013-02-14 00:14:34 status half-installed gconf2-common 2.28.1-0ubuntu1
2013-02-14 00:14:34 status unpacked gconf2-common 2.28.1-0ubuntu1
2013-02-14 00:14:34 status unpacked gconf2-common 2.28.1-0ubuntu1
2013-02-14 00:14:34 install libgconf2-4 <none> 2.28.1-0ubuntu1
2013-02-14 00:14:34 status half-installed libgconf2-4 2.28.1-0ubuntu1
2013-02-14 00:14:34 status unpacked libgconf2-4 2.28.1-0ubuntu1
2013-02-14 00:14:34 status unpacked libgconf2-4 2.28.1-0ubuntu1
2013-02-14 00:14:34 install libgtk2.0-common <none> 2.20.1-0ubuntu2.1
2013-02-14 00:14:34 status half-installed libgtk2.0-common 2.20.1-0ubuntu2.1
2013-02-14 00:14:34 status unpacked libgtk2.0-common 2.20.1-0ubuntu2.1
2013-02-14 00:14:34 status unpacked libgtk2.0-common 2.20.1-0ubuntu2.1
2013-02-14 00:14:34 install libjasper1 <none> 1.900.1-7ubuntu0.10.04.1
2013-02-14 00:14:34 status half-installed libjasper1 1.900.1-7ubuntu0.10.04.1
2013-02-14 00:14:34 status unpacked libjasper1 1.900.1-7ubuntu0.10.04.1
2013-02-14 00:14:34 status unpacked libjasper1 1.900.1-7ubuntu0.10.04.1
2013-02-14 00:14:34 install fontconfig <none> 2.8.0-2ubuntu1
2013-02-14 00:14:34 status half-installed fontconfig 2.8.0-2ubuntu1
2013-02-14 00:14:34 status half-installed fontconfig 2.8.0-2ubuntu1
2013-02-14 00:14:34 status unpacked fontconfig 2.8.0-2ubuntu1
2013-02-14 00:14:34 status unpacked fontconfig 2.8.0-2ubuntu1
2013-02-14 00:14:34 install libpango1.0-common <none> 1.28.0-0ubuntu2.2
2013-02-14 00:14:34 status half-installed libpango1.0-common 1.28.0-0ubuntu2.2
2013-02-14 00:14:34 status half-installed libpango1.0-common 1.28.0-0ubuntu2.2
2013-02-14 00:14:34 status unpacked libpango1.0-common 1.28.0-0ubuntu2.2
2013-02-14 00:14:34 status unpacked libpango1.0-common 1.28.0-0ubuntu2.2
2013-02-14 00:14:34 install libdatrie1 <none> 0.2.2-3
2013-02-14 00:14:34 status half-installed libdatrie1 0.2.2-3
2013-02-14 00:14:34 status unpacked libdatrie1 0.2.2-3
2013-02-14 00:14:34 status unpacked libdatrie1 0.2.2-3
2013-02-14 00:14:34 install libthai-data <none> 0.1.13-1build1
2013-02-14 00:14:34 status half-installed libthai-data 0.1.13-1build1
2013-02-14 00:14:34 status unpacked libthai-data 0.1.13-1build1
2013-02-14 00:14:34 status unpacked libthai-data 0.1.13-1build1
2013-02-14 00:14:34 install libthai0 <none> 0.1.13-1build1
2013-02-14 00:14:34 status half-installed libthai0 0.1.13-1build1
2013-02-14 00:14:34 status unpacked libthai0 0.1.13-1build1
2013-02-14 00:14:34 status unpacked libthai0 0.1.13-1build1
2013-02-14 00:14:34 install libxft2 <none> 2.1.14-1ubuntu1
